latitude,longitude,size,data,data_size
41.375,9.125,0.25,0.003257594001601131,3376.7252747252787
41.625,8.875,0.25,0.001253888547220845,11962.785714285721
41.625,9.125,0.25,0.0003596574954005327,8341.26923076926
41.625,9.375,0.25,0.0030848671054217974,17180.64285714287
41.875,8.625,0.25,0.00040465633721738686,81550.68131868143
41.875,8.875,0.25,0.0026705307719414105,24339.730769230788
41.875,9.375,0.25,0.0012157110615512157,6580.510989010997
42.125,8.625,0.25,0.000165697216559889,6035.104395604399
42.125,8.875,0.25,0.0002712470658370275,11060.0274725275
42.125,9.125,0.25,0.00036084119616873884,2771.302197802198
42.125,9.375,0.25,0.0005148161168963938,13597.087912087925
42.375,1.875,0.25,0.001724650539130972,4638.620879120875
42.375,2.125,0.25,0.0023602377745032734,3389.489010989009
42.375,2.375,0.25,0.001576228397226877,1268.8516483516485
42.375,2.625,0.25,0.001324738397760824,9813.25824175823
42.375,2.875,0.25,0.00013148507698559613,15210.851648351661
42.375,3.125,0.25,0.002041451561794571,5878.170329670328
42.375,8.625,0.25,0.0008613305190226254,1160.994505494507
42.375,8.875,0.25,0.0002811466457814876,3556.862637362633
42.375,9.125,0.25,0.0006179549377946382,11327.686813186812
42.625,1.625,0.25,0.0021036449694566946,950.7307692307686
42.625,1.875,0.25,0.0025267600549778594,3957.637362637358
42.625,2.125,0.25,0.0023246029241611446,7313.076923076922
42.625,2.375,0.25,0.0013448482889207032,17845.87912087913
42.625,2.625,0.25,0.0008311107969329638,30080.22527472527
42.625,2.875,0.25,0.0011229603189625637,303661.664835165
42.625,3.125,0.25,0.001441278238721178,51343.313186813226
42.625,8.875,0.25,0.0010206674834761379,18615.26923076922
42.625,9.125,0.25,0.00033600971843493265,2976.1043956044005
42.625,9.375,0.25,0.0006911835737456782,101275.55494505513
42.875,-0.125,0.25,0.00390988331616029,6905.57692307693
42.875,0.125,0.25,0.00102524044329444,11704.57142857142
42.875,0.375,0.25,0.00397898780822455,7288.285714285712
42.875,0.625,0.25,0.0016334181454293463,8570.983516483515
42.875,0.875,0.25,0.001380615625610421,2897.2582417582394
42.875,1.125,0.25,0.0004616750517904701,12996.153846153858
42.875,1.375,0.25,0.0019516265666872333,5636.324175824183
42.875,1.625,0.25,0.0009364658630995696,29899.648351648353
42.875,1.875,0.25,0.001086687835186475,18404.549450549443
42.875,2.125,0.25,0.0010611758728254876,13192.912087912055
42.875,2.375,0.25,0.0034842894283085113,4305.038461538462
42.875,2.625,0.25,0.001734124240791303,10379.879120879119
42.875,2.875,0.25,0.004408708611269127,35611.335164835196
42.875,3.125,0.25,0.00118698107709802,26116.675824175793
42.875,9.375,0.25,0.0009109924123592134,8781.631868131872
43.125,-1.375,0.25,0.00030593994163607274,6537.230769230768
43.125,-1.125,0.25,0.0005443804681073808,7347.802197802195
43.125,-0.625,0.25,0.0002453356380247901,28532.340659340654
43.125,-0.375,0.25,0.00014976768727585247,33385.03846153847
43.125,-0.125,0.25,0.0012548675176004985,51798.296703296684
43.125,0.125,0.25,0.0017437239351595294,100359.92307692309
43.125,0.375,0.25,0.001720426854917916,23250.043956043955
43.125,0.625,0.25,0.0012047272160570052,38182.917582417576
43.125,0.875,0.25,0.0022400512702692894,25445.84615384616
43.125,1.125,0.25,0.0009684229052891809,26847.774725274736
43.125,1.375,0.25,0.001114504878583266,12561.631868131875
