code_geo,latitude,longitude,city_code,zip_code,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
89031,47.914658943,3.558104576,beaumont,89250,25,0,2878
89032,47.413340513,4.036179251,beauvilliers,89630,0,0,594
89033,47.79210701,3.380475872,beauvoir,89240,10,0,3100
89034,47.816672427,3.72360549,beine,89800,48,0,3168
89035,48.053272223,3.582371411,bellechaume,89210,31,0,2598
89036,48.144805945,3.086372071,la belliole,89150,23,0,2331
89037,47.949514225,3.312694731,beon,89410,37,0,5557
89038,47.902876939,3.896823083,bernouil,89360,1,0,583
89039,47.803370501,3.885686311,beru,89700,1,0,210
89040,47.619772801,3.726811758,bessy sur cure,89270,3,0,681
89041,48.019619165,3.795732839,beugnon,89570,7,0,2207
89042,47.615770746,4.179612857,bierry les belles fontaines,89420,1,0,1618
89043,47.580749552,4.040050888,blacy,89440,2,0,245
89044,47.533938993,3.762149731,blannay,89200,4,0,658
89045,47.831671008,3.677528484,bleigny le carreau,89230,9,0,2440
89046,47.703544233,2.949194501,bleneau,89220,40,0,5615
89048,48.14038564,3.706759607,boeurs en othe,89770,12,0,2451
89049,47.551441469,3.720786689,bois d arcy,89660,0,0,108
89050,47.930064796,3.534927751,bonnard,89400,48,0,4902
89051,48.109191372,3.389261706,les bordes,89500,26,0,3378
89053,47.87602542,3.482376839,branches,89113,11,0,1773
89054,48.227688272,3.124682388,brannay,89150,41,0,2019
89055,48.000450395,3.618183161,brienon sur armancon,89210,176,0,42088
89056,47.999386844,3.478868715,brion,89400,34,0,4853
89057,47.530448736,3.689746605,brosses,89660,16,0,1581
89058,47.427645607,4.052797037,bussieres,89630,8,0,1254
89059,48.041067207,3.506259931,bussy en othe,89400,38,0,4051
89060,48.054804796,3.220026652,bussy le repos,89500,17,0,3875
89061,47.984029556,3.821823772,butteaux,89360,6,0,2417
89062,47.922741638,3.845020081,carisey,89360,21,0,2476
89063,47.97960042,3.28359139,la celle st cyr,89116,51,0,6093
89064,47.698675983,4.045324322,censy,89310,0,0,500
89065,48.177522813,3.625839608,cerilly,89320,0,0,520
89066,48.119094533,3.498437038,cerisiers,89320,81,0,10760
89067,47.995903607,3.315869268,cezy,89410,33,0,5078
89068,47.807865034,3.790652476,chablis,89800,1148,0,48388
89069,48.09031685,3.685621636,chailley,89770,1,0,2908
89071,47.459042881,3.661273092,chamoux,89660,7,0,496
89072,47.756284735,2.978728685,champcevrais,89220,3,0,543
89073,47.780038945,3.077209547,champignelles,89350,68,0,9980
89074,48.304871797,3.132157503,champigny,89340,62,0,8061
89075,47.946642959,3.420932826,champlay,89300,84,0,3352
89076,48.041952865,3.651621821,champlost,89210,48,0,5588
89077,47.751197583,3.601734366,champs sur yonne,89290,62,8,6784
89079,47.959226223,3.353514077,chamvres,89300,38,0,3817
89080,48.291763571,3.299237061,la chapelle sur oreuse,89260,78,0,3987
89081,47.843343161,3.769293517,la chapelle vaupelteigne,89800,0,0,664
89083,47.828678603,3.466232036,charbuy,89113,103,0,5966
89084,47.644324094,3.556100915,charentenay,89580,20,0,2207
89085,47.941967401,3.493658019,charmoy,89400,78,0,11970
89086,47.872404876,3.121924414,charny oree de puisaye,89120,2646,0,434294
89087,47.767299525,4.195384665,chassignelles,89160,0,0,1166
89088,47.848796857,3.330216307,chassy,89110,22,0,1618
89089,47.385609489,3.884444367,chastellux sur cure,89630,0,0,1249
89091,47.523409592,3.638273056,chatel censoir,89660,6,0,1930
89092,47.628044165,4.105014987,chatel gerard,89310,8,0,1251
89093,48.309873091,3.100724767,chaumont,89340,23,0,2448
89094,48.083053164,3.202386039,chaumot,89500,20,0,2604
89095,47.768147008,3.858018402,chemilly sur serein,89800,10,0,1164
89096,47.89664311,3.557858592,chemilly sur yonne,89250,37,0,5151
89098,47.912801447,3.961738074,cheney,89700,11,0,1342
89099,47.945026005,3.536729256,cheny,89400,70,0,15077
89100,48.202014924,3.007763395,cheroy,89690,54,0,8168
89101,47.974591034,3.755789756,cheu,89600,16,0,3652
89102,47.754218383,3.491440311,chevannes,89240,40,2,4814
89104,47.78450249,3.832926783,chichee,89800,7,0,2202
89105,47.905346273,3.507902502,chichery,89400,4,0,1458
89108,47.768141176,3.700620395,chitry,89530,7,0,2160
89111,48.229168102,3.457171276,les clerimois,89190,18,0,2382
89112,47.840879869,3.870699194,collan,89700,2,0,1099
89113,48.154050167,3.220364956,collemiers,89100,25,0,2438
89115,48.366797393,3.279247154,compigny,89140,6,0,784
89116,48.135173725,3.188185393,cornant,89500,25,0,2340
89117,47.683328823,3.469852378,coulangeron,89580,2,0,1218
